"","Book_Name","Author","Rating","Reviews","Price_baht","Fiction"
"240","The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever","Pierre Dukan",4.1,2023,2023,"Non Fiction"
"241","The Elegance of the Hedgehog","Muriel Barbery",4,1859,1859,"Fiction"
"242","The Fault in Our Stars","John Green",4.7,50482,50482,"Fiction"
"243","The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni",4.6,3207,3207,"Non Fiction"
"244","The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","Gary Chapman",4.6,803,803,"Non Fiction"
"245","The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz",4.7,23308,23308,"Non Fiction"
"246","The Getaway","Jeff Kinney",4.8,5836,5836,"Fiction"
"247","The Girl on the Train","Paula Hawkins",4.1,79446,79446,"Fiction"
"248","The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","Stieg Larsson",4.7,7747,7747,"Fiction"
"249","The Girl Who Played with Fire (Millennium Series)","Stieg Larsson",4.7,7251,7251,"Fiction"
